exper,sex,school,wage
9,female,10,6.824385805
8,female,11,4.246284501
5,female,11,5.389514944
5,female,8,2.978508913
6,female,10,1.633186347
5,female,10,2.75600196
7,female,11,3.970909371
8,female,10,6.260547662
6,female,10,3.257093225
4,female,10,3.155133995
7,female,10,6.1244488
7,female,10,3.693891739
8,female,10,3.115480476
9,female,10,0.91866732
6,female,12,12.2488976
8,female,10,1.728474017
5,female,11,5.587216449
5,female,10,4.443786106
3,female,9,3.272940467
7,female,9,3.67466928
9,female,14,5.144536992
8,female,15,5.208643372
11,female,12,6.451247451
12,female,12,4.5933366
11,female,12,3.896468241
6,female,14,5.017930739
10,female,14,5.756981872
11,female,11,0.42462845
9,female,15,5.090641842
9,female,14,5.867435083
11,female,12,4.608370776
12,female,11,4.28711416
9,female,10,4.472912045
11,female,12,7.123700972
7,female,15,8.54956611
8,female,15,10.41156296
6,female,14,3.033060358
3,female,14,5.97133758
13,female,11,5.443954489
7,female,14,2.256883495
9,female,13,5.661712668
10,female,10,2.547770701
11,female,12,5.902171507
12,female,12,2.878490936
11,female,12,3.710345681
9,female,13,7.64713567
10,female,13,4.489727504
9,female,12,4.21943356
9,female,14,6.1244488
4,female,14,3.98089172
13,female,11,5.119633796
8,female,12,3.386820186
8,female,13,1.654396559
10,female,13,8.932732639
7,female,12,5.136634477
10,female,13,3.98089172
14,female,9,5.75261824
9,female,14,8.173158221
9,female,12,7.593266606
9,female,14,10.41940365
11,female,12,4.491262453
8,female,12,4.014344591
10,female,12,3.089647305
8,female,14,3.77335708
8,female,14,5.97133758
10,female,12,3.821656051
9,female,13,5.81822636
10,female,12,4.005928775
11,female,12,5.51200392
11,female,12,6.73689368
4,female,16,9.43618778
7,female,13,7.04311612
8,female,13,7.306574329
11,female,12,6.649401554
13,female,10,9.199309614
11,female,12,7.655561
11,female,12,7.607210088
7,female,14,7.27417487
8,female,14,3.36844684
11,female,12,2.870835375
10,female,12,5.696235306
10,female,12,6.270420118
15,female,6,4.303666724
8,female,14,11.45271926
7,female,14,1.248907206
7,female,13,5.072604407
7,female,12,7.014787171
9,female,12,6.43067124
9,female,12,6.73689368
9,female,12,3.67466928
9,female,10,0.449606594
8,female,13,7.483284932
10,female,9,3.214852619
7,female,13,3.292001323
9,female,12,5.059327269
7,female,12,3.0622244
11,female,9,3.033060358
7,female,12,3.642874957
9,female,12,3.461644974
9,female,12,4.5933366
9,female,13,6.859382656
10,female,12,5.192467461
7,female,13,9.072366198
4,female,15,7.96178344
6,female,9,2.44977952
8,female,14,14.69867712
6,female,13,0.428711416
7,female,11,7.96178344
7,female,13,7.34933856
5,female,13,5.055100597
7,female,13,5.184880887
12,female,9,3.631690692
9,female,12,4.985278765
9,female,11,0.07655561
5,female,12,0.474739882
8,female,13,7.092902841
7,female,12,2.73222287
9,female,12,4.022795843
8,female,13,4.935876526
9,female,10,3.67466928
8,female,14,3.309366168
8,female,12,5.373709915
8,female,12,4.757471828
6,female,10,2.662803826
8,female,10,5.294280548
9,female,12,3.266372693
6,female,10,4.840764331
5,female,11,1.185797534
6,female,12,4.157126872
6,female,12,6.73689368
9,female,11,2.846671174
5,female,10,2.75600196
8,female,12,3.98089172
7,female,11,6.030627456
9,female,12,5.374494398
12,female,8,2.14355708
12,female,9,4.5933366
7,female,12,3.36844684
8,female,12,5.751175397
10,female,8,6.14809532
1,female,12,2.774677675
8,female,11,4.765157171
4,female,11,2.44977952
9,female,12,7.012212938
4,female,12,8.165931733
6,female,9,3.54330383
8,female,12,2.370754374
8,female,11,7.730702654
8,female,12,3.36844684
8,female,12,6.1244488
8,female,12,4.5933366
9,female,9,3.746721619
6,female,12,5.97133758
7,female,11,1.887237556
4,female,11,1.838749062
10,female,9,2.60289074
9,female,10,3.0622244
9,female,11,5.802109389
8,female,11,7.34933856
5,female,8,1.481262035
8,female,9,4.828504129
8,female,11,6.499415053
5,female,11,3.67466928
9,female,11,5.729114009
8,female,10,6.824385805
6,female,11,3.245957864
7,female,11,4.769121528
9,female,11,3.463455255
9,female,9,5.51200392
9,female,11,5.890345331
5,female,10,3.256353145
5,female,10,3.860258637
9,female,10,4.845942187
5,female,12,8.097882302
8,female,11,4.103004963
3,female,10,3.36844684
8,female,11,4.28711416
4,female,12,5.276448197
7,female,11,4.777070064
7,female,9,4.87456129
8,female,11,3.735913768
7,female,10,5.81822636
8,female,10,4.019411076
8,female,11,5.681648276
8,female,11,7.655561
7,female,11,7.34933856
8,female,12,4.683402023
6,female,7,5.790387956
6,female,9,2.048972321
7,female,11,2.322186837
4,female,11,9.926379353
5,female,11,4.97611465
6,female,10,3.796975709
6,female,11,4.814429201
4,female,11,2.270700637
3,female,10,5.573248408
10,female,10,7.372021703
9,female,11,6.472994666
8,female,9,1.582466274
5,female,9,3.244977239
10,female,5,0.603165412
6,female,8,1.979839576
5,female,10,7.34933856
4,female,10,4.962845011
8,female,10,3.221889018
4,female,11,5.107559188
5,female,10,4.685555312
9,female,6,2.211606511
5,female,9,2.274795268
3,female,11,2.64448323
9,female,10,7.413806442
8,female,10,7.263381383
7,female,10,7.588673652
9,female,10,7.469477001
9,female,7,2.658963729
6,female,9,5.725940145
9,female,8,2.75600196
6,female,9,4.33663098
9,female,15,8.982524906
9,female,15,7.702562583
7,female,13,3.63967243
8,female,12,2.671049928
6,female,14,5.614078066
11,female,12,5.111331157
8,female,12,5.397327452
9,female,12,2.365304364
9,female,15,7.019492826
10,female,12,4.526766504
10,female,13,9.624133828
12,female,12,7.091467031
12,female,12,4.549590537
11,female,13,5.520169851
8,female,14,2.522545248
7,female,15,10.55706091
7,female,15,7.699307062
11,female,12,6.026848022
6,female,16,5.0417626
9,female,15,5.010365193
12,female,9,3.98089172
8,female,12,3.778473497
10,female,12,4.491262453
8,female,10,0.22966683
11,female,12,6.170382166
11,female,13,12.2488976
12,female,12,3.98089172
14,female,7,0.444792371
8,female,13,4.431749441
10,female,12,3.0622244
11,female,12,2.507799298
10,female,12,3.10703744
10,female,13,6.634819533
9,female,12,6.025133414
10,female,12,5.696962273
11,female,12,12.31203625
7,female,15,3.890122202
10,female,12,2.75600196
12,female,12,5.175159236
12,female,10,2.705294158
8,female,16,4.184513117
11,female,13,3.935215116
11,female,12,4.382633086
10,female,13,10.89908753
10,female,12,7.396192266
9,female,15,6.43067124
7,female,10,14.09165211
8,female,15,6.824385805
8,female,14,3.605335897
12,female,12,5.692797148
9,female,12,2.411501715
13,female,11,5.3588927
11,female,12,0.425811259
11,female,12,3.0622244
11,female,12,2.456693291
10,female,12,6.73689368
8,female,15,12.6697458
3,female,15,2.412661648
8,female,12,2.573505758
10,female,14,9.83442113
6,female,14,0.614414156
11,female,12,6.61602401
10,female,14,15.12738854
10,female,12,9.392703044
12,female,12,4.960803528
12,female,12,4.893285597
10,female,12,2.211606511
12,female,12,3.36844684
11,female,12,5.527188503
12,female,12,7.545627144
8,female,12,5.132871375
7,female,16,9.366804047
6,female,16,5.932309229
12,female,12,3.794552107
10,female,13,3.899649032
10,female,12,8.57422832
11,female,13,6.27756002
10,female,14,3.67466928
11,female,12,1.196136479
5,female,12,3.0622244
8,female,14,5.71249036
12,female,12,6.792408557
11,female,13,3.116157902
10,female,12,7.563694268
10,female,12,3.849653531
12,female,12,5.372524908
11,female,13,3.054725075
11,female,13,9.590330052
8,female,15,12.39598581
9,female,13,5.925048141
12,female,12,4.948500251
11,female,12,3.919647232
10,female,13,3.0622244
3,female,15,3.268521623
8,female,12,11.15418936
11,female,12,2.98566879
10,female,12,6.103013229
7,female,12,4.144963179
10,female,10,6.369426752
6,female,13,2.989065455
9,female,15,6.272920286
6,female,16,5.367494454
10,female,12,4.371175222
10,female,12,4.409603136
12,female,11,4.06935598
10,female,11,3.960265338
7,female,16,6.73689368
7,female,14,0.962149056
8,female,12,6.532745386
10,female,14,5.502817246
9,female,10,2.751372247
16,female,8,2.864023429
8,female,15,6.555045769
9,female,15,4.777070064
9,female,15,4.963189677
9,female,15,6.1244488
8,female,15,6.708226047
8,female,15,6.093826556
5,female,14,8.917197452
7,female,15,5.2588759
8,female,15,3.021990795
12,female,10,3.821656051
13,female,10,5.51200392
8,female,15,5.51200392
10,female,12,3.10703744
7,female,12,8.083028873
9,female,9,21.23142251
9,female,14,5.81822636
7,female,14,4.930714654
9,female,15,4.413634821
8,female,15,7.417320548
10,female,12,3.67466928
8,female,15,5.81822636
11,female,12,3.223551344
13,female,9,1.621177623
6,female,12,1.015857536
12,female,9,6.379634166
12,female,12,3.5850432
11,female,11,2.75600196
10,female,14,0.772988683
9,female,12,2.137391527
11,female,11,3.552180304
11,female,12,4.305158463
10,female,10,3.574678279
6,female,16,10.12806374
8,female,15,4.444599986
12,female,12,4.74644782
10,female,14,5.91587624
10,female,14,5.310621575
9,female,15,8.698449463
9,female,15,15.311122
11,female,12,2.810041214
8,female,15,8.022329321
7,female,15,7.872325199
7,female,15,12.94883461
9,female,15,3.527682509
9,female,14,7.1700864
9,female,15,8.359872612
9,female,15,7.111342906
8,female,15,11.18476047
9,female,15,8.57422832
7,female,14,2.997377295
8,female,14,9.317865676
11,female,10,6.244536031
7,female,13,2.123142251
3,female,14,2.394521335
9,female,15,7.143282338
8,female,15,5.902822674
7,female,15,7.736145852
11,female,13,3.651263743
6,female,12,2.665032114
9,female,12,32.49740023
12,female,12,8.4211171
7,female,13,6.08842263
10,female,14,1.559604983
12,female,12,6.032582068
12,female,12,5.879470848
7,female,16,8.727339539
7,female,12,2.75600196
9,female,14,11.77778615
11,female,12,7.662960719
9,female,15,6.87701603
9,female,14,7.04311612
8,female,12,5.854252529
11,female,12,0.91121985
11,female,12,1.633186347
8,female,15,9.016549622
8,female,12,2.701427542
9,female,12,7.926812209
10,female,12,5.81822636
9,female,14,8.271982794
13,female,9,6.769127621
9,female,12,8.293524416
13,female,9,7.205233882
10,female,12,6.42458735
11,female,12,7.283128302
8,female,14,5.068509351
9,female,12,8.369811763
10,female,12,7.232505774
10,female,12,5.175327703
5,female,12,4.108247389
9,female,13,4.28711416
7,female,14,8.71605766
6,female,14,6.73689368
8,female,12,4.173936272
13,female,10,3.44500245
10,female,13,9.186673199
10,female,12,7.519125259
10,female,12,3.011549292
11,female,12,4.144963179
9,female,13,16.0035848
10,female,8,3.094458341
9,female,14,11.02400784
7,female,11,1.811554821
8,female,14,7.655561
11,female,12,6.43067124
9,female,12,4.072758452
7,female,12,1.903506845
11,female,12,6.050405377
8,female,12,2.626567733
10,female,12,3.791325447
11,female,12,5.092407612
7,female,13,7.306574329
3,female,15,4.485511797
8,female,14,12.28389445
4,female,12,2.98566879
9,female,14,15.311122
7,female,12,1.215650591
8,female,12,4.396751094
9,female,13,3.552180304
9,female,13,6.186397247
7,female,12,2.562413061
9,female,10,2.597154802
9,female,10,4.644373673
6,female,12,2.578715284
8,female,13,4.206225213
11,female,11,4.5933366
6,female,12,1.592356688
10,female,12,2.740819743
7,female,13,4.44022538
9,female,12,1.693996477
8,female,14,6.369426752
5,female,12,1.920097462
9,female,14,7.262437597
5,female,12,3.67466928
10,female,12,3.67466928
9,female,13,3.821656051
9,female,14,7.655561
8,female,14,9.670857372
11,female,12,6.72098602
8,female,14,7.100959567
9,female,14,10.79563856
9,female,14,9.274165325
8,female,12,4.078334442
10,female,12,5.81822636
7,female,14,7.134982852
10,female,12,3.899649032
8,female,14,8.846426044
11,female,12,4.28711416
9,female,14,20.99811017
9,female,14,6.630290646
3,female,15,3.98089172
6,female,12,2.695102998
8,female,14,7.655561
10,female,12,6.84884597
11,female,12,5.573248408
9,female,12,0.668706221
11,female,12,5.253135465
8,female,14,8.082052072
9,female,12,3.345807827
10,female,12,10.1481026
10,female,12,7.34933856
12,female,7,3.0622244
11,female,12,2.929220274
8,female,12,4.158842178
11,female,12,7.129955319
7,female,14,5.389514944
7,female,12,1.091901729
9,female,14,4.5933366
10,female,12,5.05267026
14,female,7,3.145089616
10,female,9,4.639149406
7,female,14,6.1244488
8,female,13,30.86217086
7,female,14,9.186673199
7,female,15,10.31319098
8,female,13,6.73689368
7,female,13,7.696390658
6,female,14,16.97182677
8,female,13,6.824385805
8,female,12,4.506669871
7,female,15,4.187849393
11,female,12,3.175640118
11,female,12,5.20578148
11,female,12,2.196354052
9,female,13,4.382357708
8,female,14,4.5933366
11,female,12,4.5933366
12,female,10,6.43067124
6,female,12,3.9156312
12,female,9,3.0622244
6,female,14,5.836242158
9,female,10,7.34933856
7,female,14,8.757961783
9,female,14,10.79563856
13,female,10,5.790387956
15,female,8,2.388535032
6,female,15,2.912570107
8,female,14,7.113065408
4,female,12,2.113079965
10,female,12,7.47512186
6,female,13,1.190547056
8,female,14,7.412694926
7,female,14,2.547770701
8,female,14,10.46405824
8,female,15,7.430997877
7,female,12,3.376021246
7,female,15,6.1244488
8,female,9,3.284235669
9,female,13,6.73689368
10,female,12,4.712075913
7,female,9,8.074831075
10,female,10,4.352683429
10,female,12,15.311122
6,female,14,2.324608304
8,female,14,7.19622734
6,female,14,9.737873591
8,female,14,3.184713376
8,female,14,9.275864201
8,female,14,6.162154289
12,female,10,5.780867222
9,female,13,7.96178344
11,female,11,4.643608683
7,female,14,2.763974965
8,female,9,2.881090737
8,female,13,2.717332232
7,female,10,1.836628244
11,female,12,2.75600196
10,female,12,4.559345909
7,female,12,3.035095969
8,female,12,3.98089172
6,female,15,6.1244488
7,female,14,12.86134248
11,female,12,7.839294464
8,female,11,2.803444873
7,female,14,13.99874011
8,female,14,2.919320595
6,female,15,10.41156296
8,female,14,5.529016277
9,female,13,4.409603136
10,female,12,4.89955904
7,female,15,5.671239588
7,female,11,4.13400294
8,female,14,7.251719262
9,female,14,8.957006369
7,female,14,11.63645272
8,female,13,3.27645409
6,female,14,3.630780722
5,female,11,2.971161167
6,female,13,5.564096932
8,female,15,6.135174629
8,female,14,7.251719262
7,female,15,14.64909557
7,female,14,10.31100102
9,female,14,5.51200392
4,female,12,1.136204143
4,female,12,5.428488709
9,female,12,13.17812431
9,female,14,8.789457339
10,female,12,6.025133414
7,female,14,2.884704145
9,female,14,4.948729105
11,female,12,5.726359628
8,female,15,4.89955904
10,female,12,3.98089172
7,female,14,7.839294464
8,female,14,8.279663373
9,female,12,6.499415053
5,female,12,1.724989435
8,female,13,4.89955904
6,female,14,12.13224143
11,female,12,3.122268016
13,female,9,5.397819281
6,female,13,8.57422832
7,female,13,6.43067124
6,female,13,7.006369427
6,female,13,5.434664464
6,female,13,8.962318088
8,female,13,10.97893746
8,female,13,8.819206271
8,female,13,3.238691569
10,female,12,5.605186794
9,female,13,7.181216436
8,female,13,6.155600625
8,female,12,6.73689368
6,female,13,7.873905035
9,female,12,5.545520804
5,female,13,7.96178344
10,female,12,2.387341361
7,female,12,3.0622244
6,female,13,1.068695764
8,female,13,4.152168678
6,female,12,4.031282754
10,female,12,5.653337354
4,female,12,16.47265539
8,female,10,1.592356688
10,female,12,4.281967564
3,female,13,9.478313618
6,female,12,1.740280533
9,female,13,3.36844684
9,female,13,5.426865842
7,female,13,5.20578148
9,female,12,3.533662553
7,female,13,9.186673199
6,female,11,1.858782126
9,female,12,1.305407986
11,female,11,3.817637485
8,female,13,4.409603136
7,female,11,0.212314225
7,female,15,8.711981879
7,female,12,4.087332675
6,female,13,5.660035621
9,female,12,8.57422832
8,female,12,2.658081065
8,female,12,2.441729861
9,female,12,7.295658132
6,female,14,7.96178344
8,female,12,1.592356688
8,female,13,7.19622734
9,female,12,5.168175215
7,female,14,8.315178527
6,female,12,3.050429165
10,female,12,1.39654549
9,female,12,2.822105619
6,female,12,3.258776478
9,female,12,5.51200392
8,female,12,4.742685593
9,female,12,5.790387956
4,female,14,9.859872612
8,female,12,3.67466928
6,female,12,2.857669031
8,female,12,3.943917493
3,female,12,2.148204638
10,female,10,3.98089172
8,female,13,8.57422832
6,female,13,5.807890388
7,female,13,4.32407204
2,female,13,6.734195685
5,female,9,1.192776545
10,female,12,4.13400294
8,female,12,4.5933366
11,female,10,12.17684526
7,female,13,7.435801366
8,female,13,6.833101496
10,female,12,8.917197452
9,female,12,8.283936527
7,female,13,7.351909157
7,female,12,0.682438581
7,female,12,3.703155088
6,female,12,5.850511793
8,female,12,7.151302491
8,female,13,7.161585838
6,female,13,1.185377187
8,female,12,5.24066758
7,female,13,3.780938254
8,female,13,3.526597402
6,female,13,7.655561
6,female,13,4.808510324
8,female,13,5.339120748
7,female,13,3.74366307
9,female,12,4.470847624
10,female,12,5.722223538
5,female,12,1.729256132
7,female,12,1.333911362
9,female,12,3.346325696
8,female,12,4.980636375
9,female,13,5.66511514
6,female,10,4.409603136
6,female,12,0.675706914
10,female,12,8.930330291
9,female,12,3.115480476
10,female,12,6.0868242
9,female,12,3.0622244
8,female,12,6.038734166
7,female,14,6.522537972
9,female,13,5.20578148
8,female,12,2.333123352
10,female,11,4.821149142
8,female,12,6.665679159
9,female,13,5.278903687
9,female,13,5.639596603
10,female,12,6.804310975
7,female,12,5.51200392
8,female,13,7.96178344
6,female,14,12.55236128
6,female,12,9.110185639
8,female,11,4.549590537
9,female,12,6.29536365
8,female,12,6.175344496
7,female,13,6.1244488
6,female,12,3.499685028
8,female,12,3.366504626
7,female,13,6.122305243
8,female,13,5.298098539
9,female,12,4.312632696
8,female,13,5.074543291
6,female,12,3.821656051
6,female,13,6.27756002
8,female,12,8.727339539
7,female,13,5.260883453
7,female,13,10.94234852
6,female,13,5.573248408
9,female,12,9.330214968
4,female,12,7.91410809
5,female,12,5.389514944
9,female,12,2.90911318
11,female,11,9.013339743
9,female,12,4.992701699
3,female,12,2.245631227
9,female,12,3.36844684
8,female,13,7.34933856
8,female,12,4.05894842
8,female,11,3.029361504
5,female,12,2.44977952
4,female,13,2.71865776
6,female,12,0.679823873
9,female,12,5.237084218
7,female,12,3.179036525
8,female,13,4.89955904
6,female,8,0.097991181
7,female,12,2.564181462
8,female,13,11.37397634
8,female,13,5.703964255
7,female,13,8.009842495
11,female,9,0.908064914
8,female,13,7.406310176
8,female,13,2.836586813
7,female,13,3.667616172
7,female,12,2.98566879
9,female,12,4.654581088
8,female,12,2.789007971
10,female,12,2.10212104
8,female,12,4.090457547
6,female,14,8.648144081
9,female,11,3.017096882
8,female,12,2.547770701
6,female,9,1.145065483
7,female,13,7.655561
11,female,11,7.077140835
8,female,13,1.749842514
10,female,12,5.51200392
8,female,12,3.98089172
6,female,12,4.014668983
4,female,12,3.970551741
10,female,12,3.538570418
5,female,14,4.462655686
7,female,13,6.1244488
9,female,12,4.088262988
7,female,12,1.707621113
6,female,13,6.73689368
3,female,13,0.594162943
4,female,12,1.45199698
6,female,13,9.799118079
8,female,13,5.697161674
9,female,12,16.78098971
9,female,12,2.862663709
8,female,14,5.790387956
7,female,13,7.50244978
3,female,12,3.54983975
9,female,13,2.414694219
13,female,7,4.355163591
10,female,11,1.995434446
9,female,12,1.170850506
8,female,13,7.34933856
6,female,11,4.270485069
6,female,9,2.653927813
6,female,12,3.352329869
6,female,12,5.97133758
9,female,13,4.89955904
8,female,13,1.637975555
8,female,13,5.97133758
6,female,12,2.752221436
8,female,12,12.78680402
5,female,12,3.36844684
8,female,14,3.67466928
10,female,12,2.683290419
3,female,14,2.895193978
4,female,12,11.2072025
5,female,12,4.104012082
4,female,14,2.79816302
8,female,12,2.163879743
10,female,12,3.051034049
7,female,12,6.17129568
8,female,12,9.683250129
9,female,12,8.049275565
9,female,11,4.736024518
4,female,12,6.873482106
9,female,12,3.8277805
9,female,12,10.29402303
8,female,12,13.08786319
9,female,12,3.406662606
6,female,13,5.276815535
5,female,12,4.549590537
7,female,12,3.703155088
9,female,12,3.584082577
5,female,9,5.352459455
8,female,12,4.549590537
6,female,9,3.538570418
9,female,12,6.066120716
6,female,12,7.064059244
4,female,12,2.903442394
7,female,12,8.334301459
5,female,12,1.99044586
8,female,11,5.51200392
8,female,11,3.512551517
9,female,11,4.164625184
6,female,12,5.02460579
9,female,12,5.516059846
8,female,12,5.97133758
9,female,12,7.014787171
5,female,12,5.245410266
4,female,12,4.44022538
13,female,7,3.0622244
6,female,12,6.566419332
6,female,12,7.380745989
6,female,12,2.175515779
9,female,12,4.89955904
9,female,8,6.811117395
8,female,12,3.98089172
6,female,11,6.43067124
5,female,11,3.376021246
9,female,12,5.111029369
6,female,12,2.921755391
8,female,12,7.34933856
7,female,12,10.10077004
8,female,12,6.501026478
7,female,12,8.26800588
8,female,12,2.777366316
9,female,12,5.808799789
8,female,12,4.5933366
7,female,12,11.00888574
9,female,12,7.72859313
7,female,12,1.961030404
6,female,12,7.664455427
9,female,12,4.286289873
7,female,12,2.248032971
5,female,12,6.102444792
9,female,11,6.73689368
8,female,11,2.978508913
9,female,12,4.062134408
6,female,12,5.51200392
6,female,12,5.709645495
5,female,13,6.414865381
10,female,9,6.390039783
7,female,12,10.41156296
8,female,10,3.763752171
8,female,11,2.761312176
9,female,11,5.088003618
9,female,12,3.334778404
10,female,8,2.895193978
4,female,11,2.518666114
8,female,12,4.069921247
9,female,11,3.8277805
6,female,12,5.649158982
6,female,12,5.81822636
6,female,12,2.2966683
11,female,10,3.98089172
3,female,12,1.492834395
2,female,12,2.568317239
6,female,12,5.595396854
9,female,12,10.61571125
3,female,12,8.204685307
6,female,12,1.22488976
9,female,12,11.00599476
7,female,12,6.614815052
5,female,9,1.597682296
9,female,12,7.167163175
9,female,12,7.655561
